id,title,description,category
821426,{inc} Incremental layout of flexbox w/ stretched child leaves grandchild un-stretched,{inc} Incremental layout of flexbox w/ stretched child leaves grandchild un-stretched,UI Bug
804001,"The ""Check now"" button in advanced preferences should be ""Check now..."" after bug 595723","The ""Check now"" button in advanced preferences should be ""Check now..."" after bug 595723",UI Bug
347868,Accesskeys names for sizes' fonts for the advanced preference font window should be more explicit,Accesskeys names for sizes' fonts for the advanced preference font window should be more explicit,UI Bug
490605,css font-size doesn't work in table in div with a too long comment before,css font-size doesn't work in table in div with a too long comment before,UI Bug
379809,"Uncomment the ""9px fantasy"" value of ""font"" in property_database.js","Uncomment the ""9px fantasy"" value of ""font"" in property_database.js",UI Bug
332138,rare window alignment may incorrectly send NS_MOUSE_ENTER event,rare window alignment may incorrectly send NS_MOUSE_ENTER event,UI Bug
268816,'Workspaces' preference page does not inherit dialog font,'Workspaces' preference page does not inherit dialog font,UI Bug
364903,"Problem loading page ""Try Again"" button doesn't dim once pressed","Problem loading page ""Try Again"" button doesn't dim once pressed",UI Bug
794921,Progress bar in the download button grows/shrinks,Progress bar in the download button grows/shrinks,UI Bug
295588,Changing Artifact type / name should update exported settings,Changing Artifact type / name should update exported settings,Configuration Error
683037,[meta] Type inference IonMonkey integration,[meta] Type inference IonMonkey integration,Integration Failure
761231,Font for the Debugger panels should be message-box,Font for the Debugger panels should be message-box,UI Bug
695947,"Intermittent test_webgl_conformance_test_suite.html | Test failed, ""successfullyParsed should be true. Threw exception ReferenceError: successfullyParsed is not defined"" (URL: conformance/glsl/variables/gl-fragcoord.html and gl-frontfacing.html)","Intermittent test_webgl_conformance_test_suite.html | Test failed, ""successfullyParsed should be true. Threw exception ReferenceError: successfullyParsed is not defined"" (URL: conformance/glsl/variables/gl-fragcoord.html and gl-frontfacing.html)",Crash/Error
134926,[Model Sync] Wrong project added to sync,[Model Sync] Wrong project added to sync,Data Inconsistency
718513,Firefox @font-face unsuitable for Unicode/i10n applications,Firefox @font-face unsuitable for Unicode/i10n applications,UI Bug
737177,in-content security pane,in-content security pane,Security Vulnerability
308356,codeSelect(..) doesn't work for local variable with surrogate in name,codeSelect(..) doesn't work for local variable with surrogate in name,Configuration Error
323276,"[debug view][cdi] ""Force thread list update feature"" does not work with GDB 7.0 or later","[debug view][cdi] ""Force thread list update feature"" does not work with GDB 7.0 or later",Feature Request
581256,JM: mochitest-plain failure on test_MochiKit-color.html,JM: mochitest-plain failure on test_MochiKit-color.html,UI Bug
598213,Silver css border on header makes it look misaligned,Silver css border on header makes it look misaligned,UI Bug
272974,[Help] 'Content' preference page 'Restore Defaults' button clears out infocenter list regardless of defaults,[Help] 'Content' preference page 'Restore Defaults' button clears out infocenter list regardless of defaults,UI Bug
554810,CSS resize property need a transparent resize grip,CSS resize property need a transparent resize grip,UI Bug
352434,"when showing security dialog, URL bar gets really tall, distorted","when showing security dialog, URL bar gets really tall, distorted",Security Vulnerability
389735,Unable to open a message in a tab when using the vertical layout,Unable to open a message in a tab when using the vertical layout,UI Bug
50,API response latency,API response latency observed in production-like testing. Issue impacts normal workflow and requires investigation.,Performance Issue
691959,"GCC 4.6 build warning: ""nsCSSFrameConstructor.cpp:9934:8: warning: variable 'done' set but not used [-Wunused-but-set-variable]""","GCC 4.6 build warning: ""nsCSSFrameConstructor.cpp:9934:8: warning: variable 'done' set but not used [-Wunused-but-set-variable]""",Configuration Error
316011,Restore defaults button does not read remoteHelpPreferred preference correctly.,Restore defaults button does not read remoteHelpPreferred preference correctly.,UI Bug
405803,Idea for fixing the tab-close button,Idea for fixing the tab-close button,UI Bug
437219,Implement usage of application/app-config.mk and application/app-rules.mk,Implement usage of application/app-config.mk and application/app-rules.mk,Configuration Error
362682,Non-breaking hyphen (&#8209) is no longer displayed with Arial font,Non-breaking hyphen (&#8209) is no longer displayed with Arial font,UI Bug
383017,FF2.0.0.4 / Venkman Extension 0.9.87 : CSS usage fails,FF2.0.0.4 / Venkman Extension 0.9.87 : CSS usage fails,UI Bug
354766,with border-collapse crashes [@ nsRuleNode::GetStyleData] [@ nsCachedStyleData::GetStyleData],with border-collapse crashes [@ nsRuleNode::GetStyleData] [@ nsCachedStyleData::GetStyleData],Crash/Error
786894,SMIL animations of opacity keep us from picking up animations in color,SMIL animations of opacity keep us from picking up animations in color,UI Bug
684135,Shutdown crash reporting exception [@ nsTHashtable >::GetEntry ],Shutdown crash reporting exception [@ nsTHashtable >::GetEntry ],Crash/Error
824581,RemoteOpenFileChild::AsyncRemoteFileOpen crashes on Windows/Mac,RemoteOpenFileChild::AsyncRemoteFileOpen crashes on Windows/Mac,Crash/Error
140339,[Intro] Initial layout not provided,[Intro] Initial layout not provided,UI Bug
497056,very slow decoding of png,very slow decoding of png,Performance Issue
201661,[WorkingSets] Selecting 'Other Projects' working set in combo control throws exception in 'New Project' wizard,[WorkingSets] Selecting 'Other Projects' working set in combo control throws exception in 'New Project' wizard,Crash/Error
483983,all-tabs button also needs a bottom margin,all-tabs button also needs a bottom margin,UI Bug
572678,valgrind integration with conservative gc stack scan,valgrind integration with conservative gc stack scan,Integration Failure
553888,Additional XHR request after Redirect response doesn't forward non standard headers,Additional XHR request after Redirect response doesn't forward non standard headers,Feature Request
662962,Silence the clang warnings issued because of alignment requirements increase when compiling jsscript.h,Silence the clang warnings issued because of alignment requirements increase when compiling jsscript.h,UI Bug
791305,Use libjpeg's color conversion code instead of our own.,Use libjpeg's color conversion code instead of our own.,UI Bug
309921,"[Sync View][Apply Patch] Move ""Apply patch in Synchronize view"" to Team preferences","[Sync View][Apply Patch] Move ""Apply patch in Synchronize view"" to Team preferences",Data Inconsistency
492784,Color management does not Honor color profile correctly,Color management does not Honor color profile correctly,UI Bug
158763,Warning in latest nightly build and integration build,Warning in latest nightly build and integration build,Integration Failure
696248,"Flipping between ""fixed"" and ""not-fixed"" headers in GMail scrolling is slow","Flipping between ""fixed"" and ""not-fixed"" headers in GMail scrolling is slow",Performance Issue
649088,Use default favicon consistent with rest of browser (via CSS).,Use default favicon consistent with rest of browser (via CSS).,UI Bug
21,Add bulk edit support,Add bulk edit support observed in production-like testing. Issue impacts normal workflow and requires investigation.,Feature Request
193,Dropdown misaligned,Dropdown misaligned observed in production-like testing. Issue impacts normal workflow and requires investigation.,UI Bug
171239,In Launch Configuration Dialog modifications don't enable Apply button,In Launch Configuration Dialog modifications don't enable Apply button,UI Bug
169955,Widget disposed exception when activating compare editor,Widget disposed exception when activating compare editor,Crash/Error
328909,Setting foreground color in EraseItem listener has no effect,Setting foreground color in EraseItem listener has no effect,UI Bug
127897,[Model Sync] DND Support,[Model Sync] DND Support,Data Inconsistency
297256,Dialog font not honoured completely in the 'Perspectives' preference page,Dialog font not honoured completely in the 'Perspectives' preference page,UI Bug
273525,Generate Getters and Setters is very slow,Generate Getters and Setters is very slow,Performance Issue
304360,[Sync View][Apply Patch] Remove preview mode page from ApplyPatchSynchronizationWizard,[Sync View][Apply Patch] Remove preview mode page from ApplyPatchSynchronizationWizard,Data Inconsistency
466692,[SECURITY] It's way too easy to delete keywords/flags (etc...?),[SECURITY] It's way too easy to delete keywords/flags (etc...?),Security Vulnerability
314113,"False ""Syntax error"" warning on initialization of a void* variable.","False ""Syntax error"" warning on initialization of a void* variable.",Configuration Error
497973,tab bar overflow animation should use the scroll arrow instead of the all tabs button,tab bar overflow animation should use the scroll arrow instead of the all tabs button,UI Bug
187393,"TVT33:TCT251: da: truncation in New CDT project wizard, Preferred toolchains tab","TVT33:TCT251: da: truncation in New CDT project wizard, Preferred toolchains tab",UI Bug
186113,classpath variable deprecation messages not initialized when called,classpath variable deprecation messages not initialized when called,Configuration Error
145242,Eclipse crashes in Managed Make C++ Project when closing an angle bracket (>),Eclipse crashes in Managed Make C++ Project when closing an angle bracket (>),Crash/Error
509660,Clicking the green zoom button doesn't persist the window's position,Clicking the green zoom button doesn't persist the window's position,UI Bug
743885,Fix an OOM handling error in HashTable,Fix an OOM handling error in HashTable,Crash/Error
773454,WebRTC tests fail to build using visual studio 2012,WebRTC tests fail to build using visual studio 2012,UI Bug
360211,"[cocoa][cairo] in about:config, text box is not white (has pinstripe background)","[cocoa][cairo] in about:config, text box is not white (has pinstripe background)",Configuration Error
587742,Malformed cmap table in TT font leads to crash [@TcmapUnicodeTable::GetSubtable],Malformed cmap table in TT font leads to crash [@TcmapUnicodeTable::GetSubtable],UI Bug
228786,Unable to invoke contributed popup menu items - exception in log,Unable to invoke contributed popup menu items - exception in log,Crash/Error
467347,Request for changing Plural Rule #12,Request for changing Plural Rule #12,Feature Request
702184,sporadic REFTEST TEST-UNEXPECTED-FAIL | reftest/tests/layout/reftests/bugs/598726-1.html | image comparison (==),sporadic REFTEST TEST-UNEXPECTED-FAIL | reftest/tests/layout/reftests/bugs/598726-1.html | image comparison (==),UI Bug
128302,ICU4J throws exceptions which cause Visual Editor to fail to open,ICU4J throws exceptions which cause Visual Editor to fail to open,UI Bug
244025,Variable view: failed to show details for base class member,Variable view: failed to show details for base class member,Configuration Error
330367,"Firefox 1.5 crashes for onblur focusing an ""overflow"" div that also gets ""diplay:none"" set at the same time while checking other data.","Firefox 1.5 crashes for onblur focusing an ""overflow"" div that also gets ""diplay:none"" set at the same time while checking other data.",Crash/Error
465843,remove ctrl-tab preview switching and all tabs button (for now!),remove ctrl-tab preview switching and all tabs button (for now!),UI Bug
205128,Provisioning features should be included in equinox builder feature,Provisioning features should be included in equinox builder feature,Feature Request
540089,"Unhandled Windows events don't get serialized, but deserialization of them is still attempted","Unhandled Windows events don't get serialized, but deserialization of them is still attempted",Crash/Error
501894,AIX linker error for 3.6a1pre source mozilla/layout/build : Undefined symbol: .alloca,AIX linker error for 3.6a1pre source mozilla/layout/build : Undefined symbol: .alloca,UI Bug
759803,Remove padding and add side-splitters to common.css in Debugger,Remove padding and add side-splitters to common.css in Debugger,UI Bug
104,Incorrect cache settings,Incorrect cache settings observed in production-like testing. Issue impacts normal workflow and requires investigation.,Configuration Error
168947,PatchWizard should not request full path from IStorage containing a patch,PatchWizard should not request full path from IStorage containing a patch,Feature Request
709005,Sync the browser.sessionstore.restore_on_demand pref,Sync the browser.sessionstore.restore_on_demand pref,Data Inconsistency
166515,[CheatSheet] Previewing composite cheat sheet referring to a simple cheat sheet in the same directory causes an exception,[CheatSheet] Previewing composite cheat sheet referring to a simple cheat sheet in the same directory causes an exception,Crash/Error
305678,Spelling error in error message for invalid value in Variable view,Spelling error in error message for invalid value in Variable view,Configuration Error
663853,move layout/xul/test/*.xul to mochitest-chrome,move layout/xul/test/*.xul to mochitest-chrome,UI Bug
379241,Version/config bumps for Fx 2004,Version/config bumps for Fx 2004,Configuration Error
431171,Thunderbird crashes on closing address book.,Thunderbird crashes on closing address book.,Crash/Error
362882,Painting not updated with drop down button of select box in rtl environment,Painting not updated with drop down button of select box in rtl environment,UI Bug
477126,NPAPI scrolling event constants out of sync between nsplugindefs.h and npapi.h,NPAPI scrolling event constants out of sync between nsplugindefs.h and npapi.h,Data Inconsistency
534174,Platform color -moz-mac-menutextdisable is too dark,Platform color -moz-mac-menutextdisable is too dark,UI Bug
310650,Increasing font size in Welcome causes space to appear about view.,Increasing font size in Welcome causes space to appear about view.,UI Bug
186254,Dialog prompts for full rebuild though compiler settings have not changed,Dialog prompts for full rebuild though compiler settings have not changed,Configuration Error
287583,Arguments tab text fields very slow,Arguments tab text fields very slow,Performance Issue
743049,Inconsistent error message for uncaught JS exception in Console,Inconsistent error message for uncaught JS exception in Console,Crash/Error
178077,[Snippets] Move Snippet016TableLayout to layout-package,[Snippets] Move Snippet016TableLayout to layout-package,UI Bug
478625,Visual fixes for new-tab button on linux,Visual fixes for new-tab button on linux,UI Bug
341043,DIVs transparent even with background-color specified,DIVs transparent even with background-color specified,UI Bug
762639,"""Import Settings and Data"" dialog show up on first run","""Import Settings and Data"" dialog show up on first run",Configuration Error
331447,pressing the 'DELETE' button when bookmarks menu node in focus kills Bon Echo,pressing the 'DELETE' button when bookmarks menu node in focus kills Bon Echo,UI Bug
156226,Allow classpath variable to be marked as non modifiable,Allow classpath variable to be marked as non modifiable,Configuration Error
265645,Configure Working Sets Dialog: sort checkbox does not use dialog font,Configure Working Sets Dialog: sort checkbox does not use dialog font,UI Bug
597864,Javascript strangely slow/ locking up browser ( and tabs),Javascript strangely slow/ locking up browser ( and tabs),Performance Issue
594091,[gl] clear out render area at start of every renderlayer,[gl] clear out render area at start of every renderlayer,UI Bug
373606,Version/config bumps for Fx 150eleven,Version/config bumps for Fx 150eleven,Configuration Error
580730,Invalid values in TT font leading to crash [@TSparseCoordsListPerComposits::GetCoords()],Invalid values in TT font leading to crash [@TSparseCoordsListPerComposits::GetCoords()],UI Bug
300283,"[Breakpoints] ""Skip all breakpoints"" toolbar button does not update when skip all enabled from menu.","[Breakpoints] ""Skip all breakpoints"" toolbar button does not update when skip all enabled from menu.",UI Bug
137623,Exception calculating java content assist,Exception calculating java content assist,Crash/Error
322724,Supported SVG Feature Strings are incorrect,Supported SVG Feature Strings are incorrect,Feature Request
416937,After clicking site button and clicking elsewhere focus goes to address bar,After clicking site button and clicking elsewhere focus goes to address bar,UI Bug
615011,Intermittent timeout in jsreftest/tests/jsreftest.html?test=js1_5/extensions/regress-336409-2.js | application timed out after 330 seconds with no output,Intermittent timeout in jsreftest/tests/jsreftest.html?test=js1_5/extensions/regress-336409-2.js | application timed out after 330 seconds with no output,Performance Issue
575194,Bookmark button misbehaves when personal-bookmark widget is moved to menu bar,Bookmark button misbehaves when personal-bookmark widget is moved to menu bar,UI Bug
337036,Crashes in IM_get_owning_window,Crashes in IM_get_owning_window,Crash/Error
330289,[variables] Race condition when updating a variable object,[variables] Race condition when updating a variable object,Configuration Error
717258,Fix CSS typo in winstripe/devtools/common.css,Fix CSS typo in winstripe/devtools/common.css,UI Bug
736954,Adjust bottom border color for Australis toolbar,Adjust bottom border color for Australis toolbar,UI Bug
433248,nsIZipWriter crashes FF3 on access to nsIZipWriter.file,nsIZipWriter crashes FF3 on access to nsIZipWriter.file,Crash/Error
230179,Configure Columns dialog does not use dialog font,Configure Columns dialog does not use dialog font,UI Bug
583873,JM: crashtest unexpected JS exception on file:///c:/sources/moo/editor/libeditor/html/crashtests/467647-1.html,JM: crashtest unexpected JS exception on file:///c:/sources/moo/editor/libeditor/html/crashtests/467647-1.html,Crash/Error
324449,Error: uncaught exception: 2147500037,Error: uncaught exception: 2147500037,Crash/Error
573405,Permanent timeout on x86_64 OS X in test_playback_errors.html,Permanent timeout on x86_64 OS X in test_playback_errors.html,Performance Issue
428362,Unhandled exception in SanitizeListener constructor,Unhandled exception in SanitizeListener constructor,Crash/Error
185193,GDB Hardware Debugging launch config name not displayed,GDB Hardware Debugging launch config name not displayed,Configuration Error
557598,Support strict-transport-security (STS) in private browsing mode,Support strict-transport-security (STS) in private browsing mode,Security Vulnerability
489151,masking-intro-01-f.svg in the w3c's svg test suite doesn't correctly render when opened directly,masking-intro-01-f.svg in the w3c's svg test suite doesn't correctly render when opened directly,UI Bug
172668,Cannot add Exception breakpoint for type name that does not inclue 'Exception',Cannot add Exception breakpoint for type name that does not inclue 'Exception',Crash/Error
343916,hidden submit button should have display: none,hidden submit button should have display: none,UI Bug
102,Data sync discrepancy,Data sync discrepancy observed in production-like testing. Issue impacts normal workflow and requires investigation.,Data Inconsistency
295774,Control-P crashes Eclipse if Print Spooler not running,Control-P crashes Eclipse if Print Spooler not running,Crash/Error
444220,Can't change junk folder in account settings,Can't change junk folder in account settings,Configuration Error
223932,TextLayout uses wrong system font,TextLayout uses wrong system font,UI Bug
369002,Config.trim_on_minimize does nothing on Vista,Config.trim_on_minimize does nothing on Vista,Configuration Error
670226,"""ASSERTION: negative length"" with rtl, pre-line, :first-letter{float}","""ASSERTION: negative length"" with rtl, pre-line, :first-letter{float}",Data Inconsistency
205856,add new org.eclipse.ui.tests.forms plugin to test feature,add new org.eclipse.ui.tests.forms plugin to test feature,Feature Request
798157,awesome bar dropdown background color is missing and looks wrong,awesome bar dropdown background color is missing and looks wrong,UI Bug
345599,"label of the ""Clear Now"" button in the Privacy pane shouldn't contain ellipsis (...) when set to not ask before clearing","label of the ""Clear Now"" button in the Privacy pane shouldn't contain ellipsis (...) when set to not ask before clearing",UI Bug
123,Service restart loop,Service restart loop observed in production-like testing. Issue impacts normal workflow and requires investigation.,Crash/Error
489310,previous button should be disabled if user selects the root of the folder tree.,previous button should be disabled if user selects the root of the folder tree.,UI Bug
292301,Incorrect @see tags in LabelUpdate and Request,Incorrect @see tags in LabelUpdate and Request,Feature Request
225859,Help Toc duplicates when using the remote help content feature,Help Toc duplicates when using the remote help content feature,Feature Request
294605,[disassembly view] Exception from toggle breakpoint action after viewer refresh,[disassembly view] Exception from toggle breakpoint action after viewer refresh,Crash/Error
696182,CSS rule view should support media queries,CSS rule view should support media queries,UI Bug
527400,OOM null deref introduced by fix for bug 514872,OOM null deref introduced by fix for bug 514872,Crash/Error
444659,Performance Regressions When Color Management is Turned On,Performance Regressions When Color Management is Turned On,UI Bug
372345,[Midas] text cursor overrides CSS mouse cursor styles for some elements,[Midas] text cursor overrides CSS mouse cursor styles for some elements,UI Bug
224898,Illegal input exception while restoring a java source file.,Illegal input exception while restoring a java source file.,Crash/Error
369314,Trunk install takes over as default browser from a release build,Trunk install takes over as default browser from a release build,Performance Issue
511968,win back some space from the button header box on windows XP,win back some space from the button header box on windows XP,UI Bug
509412,'Close tab' button not shown,'Close tab' button not shown,UI Bug
231868,Incorrect Syntax color on Template Method with Native Parameter,Incorrect Syntax color on Template Method with Native Parameter,UI Bug
584143,Crashes when streams are open and a plugin instance is closed at/under nsNPAPIPluginInstance::Stop,Crashes when streams are open and a plugin instance is closed at/under nsNPAPIPluginInstance::Stop,Crash/Error
187,App crashes on login,App crashes on login observed in production-like testing. Issue impacts normal workflow and requires investigation.,Crash/Error
388784,Firefox file input focus stealing vulnerability,Firefox file input focus stealing vulnerability,Security Vulnerability
232496,Exception with Javadoc view linked to selection and closed project,Exception with Javadoc view linked to selection and closed project,Crash/Error
340063,new p2 feature,new p2 feature,Feature Request
618205,SVG SMIL: Fallback to non-additive animation for 'additive' CSS animation,SVG SMIL: Fallback to non-additive animation for 'additive' CSS animation,UI Bug
325028,[a11y] Frequent crashes in editor resulting from atk_object_get_attributes(),[a11y] Frequent crashes in editor resulting from atk_object_get_attributes(),Crash/Error
141543,createLink slow with ALLOW_MISSING_LOCAL,createLink slow with ALLOW_MISSING_LOCAL,Performance Issue
650579,Avoid using flaky timeout values in geolocation tests,Avoid using flaky timeout values in geolocation tests,Performance Issue
353894,Crash [@ nsBlockBandData::Init] wit position:fixed on mathml when position:static !important rule is removed in mathml.css,Crash [@ nsBlockBandData::Init] wit position:fixed on mathml when position:static !important rule is removed in mathml.css,UI Bug
340345,DOM timeouts can fire during a sync XMLHttpRequest,DOM timeouts can fire during a sync XMLHttpRequest,Data Inconsistency
414367,"When customizing toolbars, back/foward button are the old icons and the back button gets a drop down arrow.","When customizing toolbars, back/foward button are the old icons and the back button gets a drop down arrow.",UI Bug
624292,Missing WatercolorLite titlebar->caption button transition bmp when maximized,Missing WatercolorLite titlebar->caption button transition bmp when maximized,UI Bug
493280,unify font family/style management and matching across platforms,unify font family/style management and matching across platforms,UI Bug
399698,"Cert Manager: also allow export of ""exception certs"" from the Servers tab","Cert Manager: also allow export of ""exception certs"" from the Servers tab",Crash/Error
164489,"[RSS] add links to build page plus log, config + map files","[RSS] add links to build page plus log, config + map files",Configuration Error
630635,[@~nsFilePicker] crashes on close,[@~nsFilePicker] crashes on close,Crash/Error
133455,[Model Sync] All outgoing changes automatically added to change set,[Model Sync] All outgoing changes automatically added to change set,Data Inconsistency
627341,Wrong stack alignment in Convert_ascii_run call on mingw build.,Wrong stack alignment in Convert_ascii_run call on mingw build.,UI Bug
622571,Firefox button menu no longer works when CTRL-clicking a bookmark from the FF button,Firefox button menu no longer works when CTRL-clicking a bookmark from the FF button,UI Bug
442192,Trace Malloc xpcshell randomly crashes running mochitest,Trace Malloc xpcshell randomly crashes running mochitest,Crash/Error
808845,[SECURITY] Security vulnerability in YUI's swfstore.swf in YUI 2.8.2,[SECURITY] Security vulnerability in YUI's swfstore.swf in YUI 2.8.2,Security Vulnerability
717759,negative pipelining feedback on failed image parses,negative pipelining feedback on failed image parses,Data Inconsistency
753134,B2G bluetooth interface crashes when trying to remove non-existent dbus watch sockets,B2G bluetooth interface crashes when trying to remove non-existent dbus watch sockets,Crash/Error
613372,Success event for setVersion request has wrong result,Success event for setVersion request has wrong result,Feature Request
184589,New keys preference page unusably slow,New keys preference page unusably slow,Performance Issue
298685,[Help] Network error page can significantly slow help system start,[Help] Network error page can significantly slow help system start,Performance Issue
127562,Incorrect scheduling rule for project.setDescription,Incorrect scheduling rule for project.setDescription,Feature Request
126527,[Field Assist] - API - Field Decoration alignment issues are different for cell editors,[Field Assist] - API - Field Decoration alignment issues are different for cell editors,UI Bug
554822,Caret should refer the actual text color instead of the value of CSS color property,Caret should refer the actual text color instead of the value of CSS color property,UI Bug
679255,“Close” Button on Tabs Reacts to Spacebar but Performs No Corresponding Action,“Close” Button on Tabs Reacts to Spacebar but Performs No Corresponding Action,UI Bug
380975,Branch null-ptr crashes in nsAccessibleHyperText (Linux only) [@ nsAccessibleHyperText::GetCaretOffset],Branch null-ptr crashes in nsAccessibleHyperText (Linux only) [@ nsAccessibleHyperText::GetCaretOffset],Crash/Error
678561,Firefox fails to use fallback font assigned in css rule in Linux,Firefox fails to use fallback font assigned in css rule in Linux,UI Bug
389474,flash game crashes FF,flash game crashes FF,Crash/Error
389437,crashes [@ nsSampleWordBreaker::NextWord] when using Alt+Arrow in text fields,crashes [@ nsSampleWordBreaker::NextWord] when using Alt+Arrow in text fields,Crash/Error
228008,Populating markers view is slow,Populating markers view is slow,Performance Issue
335909,Exception in switch statement,Exception in switch statement,Crash/Error
400150,Remove |font-family: sans-serif| from svg.css,Remove |font-family: sans-serif| from svg.css,UI Bug
477880,Onload can fire before we've kicked off layout-dependent loads,Onload can fire before we've kicked off layout-dependent loads,UI Bug
449442,Use native-styled statusbar with gradient instead of css background-image,Use native-styled statusbar with gradient instead of css background-image,UI Bug
247850,Incorrect warning for feature version number of org.eclipse.equinox.p2.user.ui,Incorrect warning for feature version number of org.eclipse.equinox.p2.user.ui,Feature Request
278831,[block selection] Block selection font size not honored,[block selection] Block selection font size not honored,UI Bug
125499,Scrolling in debug view and variable view sometimes erratic,Scrolling in debug view and variable view sometimes erratic,Configuration Error
608810,Yahoo Mail crashes when opening an email,Yahoo Mail crashes when opening an email,Crash/Error
387047,Visible Menupopup to the left of the Get Mail Button,Visible Menupopup to the left of the Get Mail Button,UI Bug
594808,NULL pointer crash when detaching and removing a range from a selection,NULL pointer crash when detaching and removing a range from a selection,Crash/Error
340613,Rounding error in computed style of percentage rgb() color values,Rounding error in computed style of percentage rgb() color values,UI Bug
589395,[D3D9] layout/reftests/bugs/488692-1.html test failure,[D3D9] layout/reftests/bugs/488692-1.html test failure,UI Bug
